tokens,activated_experts,time_us
1,8,83.1897
2,8,82.517
2,16,128.8
4,8,83.4127
4,16,128.17
4,32,217.46
8,8,83.8393
8,16,128.865
8,32,217.461
8,64,385.769
16,8,87.5733
16,16,131.723
16,32,220.949
16,64,386.496
16,128,722.762
32,8,109.173
32,16,133.461
32,32,222.603
32,64,391.561
32,128,726.901
64,8,128.288
64,16,150.506
64,32,239.283
64,64,421.417
64,128,769.354
128,8,129.867
128,16,157.353
128,32,248.564
128,64,435.029
128,128,794.537
256,8,183.914
256,16,201.001
256,32,263.531
256,64,446.901
256,128,801.407
512,8,296.319
512,16,312.032
512,32,351.646
512,64,470.879
512,128,823.518
1024,8,417.364
1024,16,440.607
1024,32,483.53
1024,64,576.885
1024,128,980.586
2048,8,738.58
2048,16,762.878
2048,32,811.52
2048,64,885.225
2048,128,1060.43
