tokens,activated_experts,time_us
1,8,80.031
2,8,79.488
2,16,125.217
4,8,81.534
4,16,126.495
4,32,218.368
8,8,80.639
8,16,128.319
8,32,216.832
8,64,384.64
16,8,85.25
16,16,130.911
16,32,219.679
16,64,387.712
16,128,721.019
