prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,2,1024,26.208
16,256,2,4096,26.7403
16,256,2,16384,32.8213
16,256,4,16,25.3337
16,256,4,64,25.535
16,256,4,256,26.5917
16,256,4,1024,27.2427
16,256,4,4096,28.4693
16,256,4,16384,36.0957
16,256,8,16,25.5893
16,256,8,64,25.355
16,256,8,256,26.6673
16,256,8,1024,27.531
16,256,8,4096,29.1847
16,256,8,16384,39.1783
16,256,16,16,25.653
16,256,16,64,25.5993
16,256,16,256,26.9757
16,256,16,1024,28.2027
16,256,16,4096,33.9733
16,256,16,16384,48.3413
16,256,32,16,25.654
16,256,32,64,25.77
16,256,32,256,26.9763
16,256,32,1024,28.9817
16,256,32,4096,36.7357
16,256,32,16384,65.1517
16,256,64,16,25.942
16,256,64,64,26.2933
16,256,64,256,27.775
16,256,64,1024,32.3947
16,256,64,4096,47.1997
16,256,64,16384,103.306
16,256,128,16,27.179
16,256,128,64,27.37
16,256,128,256,29.5677
16,256,128,1024,37.504
16,256,128,4096,68.6937
16,256,128,16384,177.194
16,1024,0,0,24.9067
16,1024,1,16,31.5193
16,1024,1,64,31.4867
16,1024,1,256,31.328
16,1024,1,1024,32.651
16,1024,1,4096,33.248
16,1024,1,16384,38.3037
16,1024,2,16,33.963
16,1024,2,64,33.9943
16,1024,2,256,33.7387
16,1024,2,1024,34.7833
16,1024,2,4096,35.6057
16,1024,2,16384,41.2797
16,1024,4,16,35.1367
16,1024,4,64,35.158
16,1024,4,256,34.9333
16,1024,4,1024,36.2233
16,1024,4,4096,36.9397
16,1024,4,16384,44.8323
16,1024,8,16,35.286
16,1024,8,64,35.531
16,1024,8,256,35.0083
16,1024,8,1024,36.4047
16,1024,8,4096,37.5137
16,1024,8,16384,48.128
16,1024,16,16,35.584
16,1024,16,64,35.7543
16,1024,16,256,35.296
16,1024,16,1024,36.928
16,1024,16,4096,42.7733
16,1024,16,16384,57.3757
16,1024,32,16,35.658
16,1024,32,64,35.9263
16,1024,32,256,35.7653
16,1024,32,1024,37.7597
16,1024,32,4096,45.6107
16,1024,32,16384,74.0693
16,1024,64,16,36.886
16,1024,64,64,36.8207
16,1024,64,256,37.066
16,1024,64,1024,41.1743
16,1024,64,4096,56.235
16,1024,64,16384,112.075
16,1024,128,16,36.0107
16,1024,128,64,35.7867
16,1024,128,256,38.5917
16,1024,128,1024,46.0907
16,1024,128,4096,77.002
16,1024,128,16384,184.916
16,4096,0,0,60.3947
16,4096,1,16,67.0077
16,4096,1,64,67.0823
16,4096,1,256,66.5813
16,4096,1,1024,67.0183
16,4096,1,4096,68.223
16,4096,1,16384,73.546
16,4096,2,16,69.5147
16,4096,2,64,69.6533
16,4096,2,256,69.269
16,4096,2,1024,69.547
16,4096,2,4096,70.891
16,4096,2,16384,77.1733
16,4096,4,16,70.5707
16,4096,4,64,70.5607
16,4096,4,256,70.8373
16,4096,4,1024,70.7417
16,4096,4,4096,72.341
16,4096,4,16384,80.16
16,4096,8,16,71.0177
16,4096,8,64,70.8047
16,4096,8,256,71.1477
16,4096,8,1024,71.019
16,4096,8,4096,73.6103
16,4096,8,16384,83.2113
16,4096,16,16,72.885
16,4096,16,64,72.885
16,4096,16,256,73.1413
16,4096,16,1024,73.984
16,4096,16,4096,78.0483
16,4096,16,16384,92.8963
16,4096,32,16,71.8503
16,4096,32,64,71.872
16,4096,32,256,71.5523
16,4096,32,1024,73.8237
16,4096,32,4096,80.917
16,4096,32,16384,109.343
16,4096,64,16,72.4053
16,4096,64,64,72.2347
16,4096,64,256,72.416
16,4096,64,1024,76.6823
16,4096,64,4096,91.4027
16,4096,64,16384,147.669
16,4096,128,16,71.2317
16,4096,128,64,71.466
16,4096,128,256,73.664
16,4096,128,1024,82.0697
16,4096,128,4096,112.001
16,4096,128,16384,220.788
16,16384,0,0,201.866
16,16384,1,16,216.938
