prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,2,1024,27.3177
16,256,2,4096,28.149
16,256,2,16384,36.2347
16,256,4,16,25.9943
16,256,4,64,26.1443
16,256,4,256,27.1667
16,256,4,1024,28.053
16,256,4,4096,29.407
16,256,4,16384,39.4657
16,256,8,16,25.461
16,256,8,64,25.227
16,256,8,256,26.464
16,256,8,1024,27.6583
16,256,8,4096,32.8853
16,256,8,16384,47.169
16,256,16,16,26.2187
16,256,16,64,26.2183
16,256,16,256,27.616
16,256,16,1024,29.1947
16,256,16,4096,36.6083
16,256,16,16384,65.142
16,256,32,16,26.0693
16,256,32,64,26.1657
16,256,32,256,27.6913
16,256,32,1024,31.7643
16,256,32,4096,46.1337
16,256,32,16384,101.632
16,256,64,16,26.9857
16,256,64,64,27.0937
16,256,64,256,29.6
16,256,64,1024,36.8747
16,256,64,4096,66.1437
16,256,64,16384,175.989
16,256,128,16,30.9653
16,256,128,64,30.677
16,256,128,256,34.5073
16,256,128,1024,49.1733
16,256,128,4096,105.259
16,256,128,16384,326.687
16,1024,0,0,25.621
16,1024,1,16,31.8293
16,1024,1,64,31.9353
16,1024,1,256,31.744
16,1024,1,1024,33.099
16,1024,1,4096,33.259
16,1024,1,16384,39.381
16,1024,2,16,35.062
16,1024,2,64,35.179
16,1024,2,256,34.9227
16,1024,2,1024,36.2137
16,1024,2,4096,36.949
16,1024,2,16384,44.833
16,1024,4,16,36.2027
16,1024,4,64,36.1277
16,1024,4,256,35.8283
16,1024,4,1024,37.0133
16,1024,4,4096,38.4643
16,1024,4,16384,48.384
16,1024,8,16,35.328
16,1024,8,64,35.339
16,1024,8,256,34.848
16,1024,8,1024,36.5767
16,1024,8,4096,41.792
16,1024,8,16384,56.2233
16,1024,16,16,36.683
16,1024,16,64,36.8533
16,1024,16,256,36.3953
16,1024,16,1024,38.1647
16,1024,16,4096,45.589
16,1024,16,16384,73.5573
16,1024,32,16,36.917
16,1024,32,64,37.0673
16,1024,32,256,37.0133
16,1024,32,1024,40.8527
16,1024,32,4096,55.8723
16,1024,32,16384,111.019
16,1024,64,16,36.0957
16,1024,64,64,36.2023
16,1024,64,256,38.2077
16,1024,64,1024,46.2183
16,1024,64,4096,75.5417
16,1024,64,16384,184.725
16,1024,128,16,39.9787
16,1024,128,64,39.5637
16,1024,128,256,43.5413
16,1024,128,1024,58.379
16,1024,128,4096,113.813
16,1024,128,16384,334.591
16,4096,0,0,61.536
16,4096,1,16,68.223
16,4096,1,64,68.021
16,4096,1,256,67.7757
16,4096,1,1024,67.957
16,4096,1,4096,69.4933
16,4096,1,16384,75.072
16,4096,2,16,71.253
16,4096,2,64,71.3823
16,4096,2,256,71.307
16,4096,2,1024,71.2963
16,4096,2,4096,73.131
16,4096,2,16384,81.1937
16,4096,4,16,72.1387
16,4096,4,64,72.2557
16,4096,4,256,71.8713
16,4096,4,1024,72.0847
16,4096,4,4096,74.1123
16,4096,4,16384,84.458
16,4096,8,16,72.6707
16,4096,8,64,72.661
16,4096,8,256,73.2263
16,4096,8,1024,73.8983
16,4096,8,4096,77.9843
16,4096,8,16384,91.989
16,4096,16,16,72.9277
16,4096,16,64,73.216
16,4096,16,256,72.8957
16,4096,16,1024,74.581
16,4096,16,4096,81.482
16,4096,16,16384,109.91
16,4096,32,16,73.056
16,4096,32,64,73.2273
16,4096,32,256,72.95
16,4096,32,1024,76.5543
16,4096,32,4096,91.4453
16,4096,32,16384,146.378
16,4096,64,16,72.1377
16,4096,64,64,71.9573
16,4096,64,256,73.952
16,4096,64,1024,81.8873
16,4096,64,4096,111.222
16,4096,64,16384,220.575
16,4096,128,16,75.6163
16,4096,128,64,75.285
16,4096,128,256,79.1677
16,4096,128,1024,93.857
16,4096,128,4096,150.112
16,4096,128,16384,369.354
16,16384,0,0,204.042
16,16384,1,16,218.708
16,16384,1,64,218.528
16,16384,1,256,218.696
16,16384,1,1024,217.503
16,16384,1,4096,219.167
16,16384,1,16384,223.743
16,16384,2,16,215.317
16,16384,2,64,215.487
16,16384,2,256,215.274
16,16384,2,1024,216.362
16,16384,2,4096,218.528
16,16384,2,16384,223.146
16,16384,4,16,216.096
16,16384,4,64,215.892
16,16384,4,256,216.405
16,16384,4,1024,217.13
16,16384,4,4096,219.36
16,16384,4,16384,227.071
16,16384,8,16,215.296
16,16384,8,64,214.869
16,16384,8,256,215.38
16,16384,8,1024,216.31
16,16384,8,4096,219.989
16,16384,8,16384,234.592
16,16384,16,16,215.571
16,16384,16,64,215.595
16,16384,16,256,214.965
16,16384,16,1024,217.45
16,16384,16,4096,224.085
16,16384,16,16384,251.669
16,16384,32,16,215.498
16,16384,32,64,215.359
16,16384,32,256,215.328
16,16384,32,1024,218.89
16,16384,32,4096,233.705
16,16384,32,16384,288.884
16,16384,64,16,214.485
16,16384,64,64,214.58
16,16384,64,256,216.17
16,16384,64,1024,224.501
16,16384,64,4096,253.29
16,16384,64,16384,363.199
16,16384,128,16,218.379
16,16384,128,64,217.983
16,16384,128,256,221.707
16,16384,128,1024,236.629
16,16384,128,4096,291.68
16,16384,128,16384,515.358
64,0,0,0,14.1763
64,0,1,16,19.7337
64,0,1,64,19.7337
64,0,1,256,20.9493
64,0,1,1024,21.6323
64,0,1,4096,22.2823
64,0,1,16384,27.9253
64,0,2,16,23.338
64,0,2,64,23.1257
64,0,2,256,24.1913
64,0,2,1024,25.6323
64,0,2,4096,26.357
64,0,2,16384,34.41
64,0,4,16,23.4667
64,0,4,64,23.403
64,0,4,256,24.7043
64,0,4,1024,25.5363
64,0,4,4096,26.827
64,0,4,16384,36.9693
64,0,8,16,23.5637
64,0,8,64,23.4557
64,0,8,256,24.6503
