prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.491
0,0,1,64,8.53333
0,0,1,256,9.536
0,0,1,1024,10.7733
0,0,1,4096,11.509
0,0,1,16384,19.211
0,0,2,16,11.904
0,0,2,64,12.203
0,0,2,256,13.216
0,0,2,1024,14.2933
0,0,2,4096,15.2213
0,0,2,16384,25.333
0,0,4,16,12.288
0,0,4,64,12.48
0,0,4,256,13.5467
0,0,4,1024,14.624
0,0,4,4096,19.8937
0,0,4,16384,33.5787
0,0,8,16,12.5017
0,0,8,64,12.5863
0,0,8,256,13.8237
0,0,8,1024,15.4663
0,0,8,4096,22.752
0,0,8,16384,50.4307
0,0,16,16,12.768
0,0,16,64,12.9597
0,0,16,256,14.6237
0,0,16,1024,18.3893
0,0,16,4096,32.33
0,0,16,16384,86.4957
0,0,32,16,14.0047
0,0,32,64,13.7597
0,0,32,256,15.7017
0,0,32,1024,22.7193
0,0,32,4096,51.2317
0,0,32,16384,160.256
0,0,64,16,17.6217
0,0,64,64,16.7573
0,0,64,256,20.971
0,0,64,1024,34.8587
0,0,64,4096,89.8447
0,0,64,16384,312.415
0,0,128,16,23.5097
0,0,128,64,23.3383
0,0,128,256,29.1627
0,0,128,1024,55.563
0,0,128,4096,165.802
0,0,128,16384,614.175
0,0,256,16,37.5153
0,0,256,64,36.4593
0,0,256,256,45.0987
0,0,256,1024,95.4237
0,0,256,4096,311.573
0,0,256,16384,1182.14
16,0,0,0,14.1977
16,0,1,16,19.6053
16,0,1,64,19.6377
16,0,1,256,20.992
16,0,1,1024,21.7927
16,0,1,4096,22.6667
16,0,1,16384,30.571
16,0,2,16,23.712
16,0,2,64,23.5097
16,0,2,256,24.7463
16,0,2,1024,25.824
16,0,2,4096,26.8153
16,0,2,16384,37.258
16,0,4,16,23.5947
16,0,4,64,23.5207
16,0,4,256,24.661
16,0,4,1024,25.76
16,0,4,4096,30.8267
16,0,4,16384,45.2587
16,0,8,16,23.4143
16,0,8,64,23.7647
16,0,8,256,24.842
16,0,8,1024,26.6663
16,0,8,4096,34.0043
16,0,8,16384,63.2003
16,0,16,16,23.755
16,0,16,64,23.8297
16,0,16,256,25.5463
16,0,16,1024,29.5357
16,0,16,4096,44.3303
16,0,16,16384,98.848
16,0,32,16,24.6293
16,0,32,64,24.864
16,0,32,256,26.5493
16,0,32,1024,33.888
16,0,32,4096,62.431
16,0,32,16384,171.371
16,0,64,16,28.672
16,0,64,64,27.99
16,0,64,256,31.829
16,0,64,1024,46.186
16,0,64,4096,101.248
16,0,64,16384,323.392
16,0,128,16,34.3577
16,0,128,64,34.059
16,0,128,256,40.3097
16,0,128,1024,66.7297
16,0,128,4096,177.173
16,0,128,16384,624.627
16,16,0,0,14.1117
16,16,1,16,19.862
16,16,1,64,19.7653
16,16,1,256,20.7353
16,16,1,1024,22.1123
16,16,1,4096,22.8157
16,16,1,16384,30.7197
16,16,2,16,23.6687
16,16,2,64,23.818
16,16,2,256,24.5437
16,16,2,1024,25.9843
16,16,2,4096,26.8053
16,16,2,16384,37.0773
16,16,4,16,23.371
16,16,4,64,23.4563
16,16,4,256,24.502
16,16,4,1024,25.546
16,16,4,4096,30.666
16,16,4,16384,45.5683
16,16,8,16,23.669
16,16,8,64,23.595
16,16,8,256,24.6923
16,16,8,1024,26.6027
16,16,8,4096,33.9307
16,16,8,16384,62.336
16,16,16,16,23.733
16,16,16,64,23.8187
16,16,16,256,25.483
16,16,16,1024,29.664
16,16,16,4096,44.1917
16,16,16,16384,98.613
16,16,32,16,24.96
16,16,32,64,24.6833
16,16,32,256,26.6987
16,16,32,1024,33.835
