regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
pure,2,1,0.5,4.0,0,0,128,512,320,29.601,31.328,31.425,1.0562
pure,2,1,0.5,4.0,0,0,1024,4096,2560,33.794,36.063,35.168,0.6056
mixed,2,1,0.5,4.0,16,0,128,512,320,52.159,53.792,54.273,1.2945
mixed,2,1,0.5,4.0,16,0,1024,4096,2560,56.321,59.265,57.248,0.3149
mixed,2,1,0.5,4.0,16,512,128,512,320,67.78,71.041,71.39,1.107
mixed,2,1,0.5,4.0,16,512,1024,4096,2560,73.662,75.967,73.92,0.1119
mixed,2,1,0.5,4.0,16,4096,128,512,320,197.12,196.16,197.022,
mixed,2,1,0.5,4.0,16,4096,1024,4096,2560,203.072,203.072,202.718,-12455267719445.0
mixed,2,1,0.5,4.0,16,8192,128,512,320,354.59,358.848,365.855,2.6456
mixed,2,1,0.5,4.0,16,8192,1024,4096,2560,353.823,367.937,365.184,0.8049
mixed,2,1,0.5,4.0,128,0,128,512,320,55.167,57.247,57.119,0.9385
mixed,2,1,0.5,4.0,128,0,1024,4096,2560,59.168,62.367,60.831,0.5198
mixed,2,1,0.5,4.0,128,512,128,512,320,71.679,75.104,75.199,1.0277
mixed,2,1,0.5,4.0,128,512,1024,4096,2560,77.471,79.777,78.433,0.4172
mixed,2,1,0.5,4.0,128,4096,128,512,320,200.833,200.19,201.409,
mixed,2,1,0.5,4.0,128,4096,1024,4096,2560,206.559,208.991,207.682,0.4618
mixed,2,1,0.5,4.0,128,8192,128,512,320,358.559,368.575,363.263,0.4696
mixed,2,1,0.5,4.0,128,8192,1024,4096,2560,363.359,377.024,370.4,0.5153
mixed,2,1,0.5,4.0,1024,0,128,512,320,146.88,151.773,151.487,0.9415
mixed,2,1,0.5,4.0,1024,0,1024,4096,2560,153.44,157.569,154.497,0.256
mixed,2,1,0.5,4.0,1024,512,128,512,320,188.734,188.48,188.225,
mixed,2,1,0.5,4.0,1024,512,1024,4096,2560,193.985,195.423,194.337,0.2448
