regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,2,1,0.5,4.0,1024,4096,128,512,320,479.932,478.302,479.806,
mixed,2,1,0.5,4.0,1024,4096,1024,4096,2560,488.735,482.24,480.96,
mixed,2,1,0.5,4.0,1024,8192,128,512,320,785.308,787.937,787.102,0.6824
mixed,2,1,0.5,4.0,1024,8192,1024,4096,2560,791.136,797.696,794.497,0.5123
mixed,2,1,0.5,4.0,2048,0,128,512,320,316.289,317.053,316.673,0.5026
mixed,2,1,0.5,4.0,2048,0,1024,4096,2560,322.591,323.839,322.273,-0.2548
mixed,2,1,0.5,4.0,2048,512,128,512,320,408.319,395.869,410.559,
mixed,2,1,0.5,4.0,2048,512,1024,4096,2560,415.135,410.528,418.912,
mixed,2,1,0.5,4.0,2048,4096,128,512,320,955.104,955.648,959.612,8.2868
mixed,2,1,0.5,4.0,2048,4096,1024,4096,2560,961.026,967.424,960.128,-0.1404
mixed,2,1,0.5,4.0,2048,8192,128,512,320,1554.593,1556.0,1558.334,2.6588
mixed,2,1,0.5,4.0,2048,8192,1024,4096,2560,1561.821,1566.173,1563.36,0.3536
pure,16,1,0.0625,4.0,0,0,128,512,152,28.672,39.328,35.296,0.6216
pure,16,1,0.0625,4.0,0,0,1024,4096,1216,50.177,91.04,66.594,0.4018
mixed,16,1,0.0625,4.0,16,0,128,512,152,50.401,60.576,57.375,0.6854
mixed,16,1,0.0625,4.0,16,0,1024,4096,1216,70.431,113.631,88.224,0.4119
mixed,16,1,0.0625,4.0,16,512,128,512,152,73.824,78.593,74.366,0.1137
mixed,16,1,0.0625,4.0,16,512,1024,4096,1216,88.128,129.375,105.249,0.4151
mixed,16,1,0.0625,4.0,16,4096,128,512,152,204.191,208.128,205.728,0.3904
mixed,16,1,0.0625,4.0,16,4096,1024,4096,1216,217.664,259.616,234.241,0.3951
mixed,16,1,0.0625,4.0,16,8192,128,512,152,373.599,375.199,373.277,-0.2012
mixed,16,1,0.0625,4.0,16,8192,1024,4096,1216,372.989,421.791,394.173,0.4341
mixed,16,1,0.0625,4.0,128,0,128,512,152,52.96,63.649,59.457,0.6078
mixed,16,1,0.0625,4.0,128,0,1024,4096,1216,74.402,117.536,90.496,0.3731
mixed,16,1,0.0625,4.0,128,512,128,512,152,76.257,82.272,77.857,0.266
mixed,16,1,0.0625,4.0,128,512,1024,4096,1216,91.872,134.688,107.742,0.3707
mixed,16,1,0.0625,4.0,128,4096,128,512,152,207.422,211.999,208.768,0.2941
mixed,16,1,0.0625,4.0,128,4096,1024,4096,1216,221.345,265.662,238.687,0.3913
mixed,16,1,0.0625,4.0,128,8192,128,512,152,370.625,385.439,370.078,-0.0369
mixed,16,1,0.0625,4.0,128,8192,1024,4096,1216,392.672,425.853,392.191,-0.0145
mixed,16,1,0.0625,4.0,1024,0,128,512,152,153.534,158.272,153.697,0.0344
mixed,16,1,0.0625,4.0,1024,0,1024,4096,1216,169.917,222.239,185.278,0.2936
mixed,16,1,0.0625,4.0,1024,512,128,512,152,192.287,196.895,193.246,0.2081
mixed,16,1,0.0625,4.0,1024,512,1024,4096,1216,207.968,262.336,225.568,0.3237
mixed,16,1,0.0625,4.0,1024,4096,128,512,152,487.648,496.768,486.878,-0.0844
mixed,16,1,0.0625,4.0,1024,4096,1024,4096,1216,507.103,557.536,516.544,0.1872
mixed,16,1,0.0625,4.0,1024,8192,128,512,152,797.886,807.742,798.942,0.1071
mixed,16,1,0.0625,4.0,1024,8192,1024,4096,1216,818.973,869.855,826.718,0.1522
mixed,16,1,0.0625,4.0,2048,0,128,512,152,320.574,324.992,322.176,0.3626
mixed,16,1,0.0625,4.0,2048,0,1024,4096,1216,337.856,392.704,355.165,0.3156
mixed,16,1,0.0625,4.0,2048,512,128,512,152,418.399,419.073,419.678,1.8976
mixed,16,1,0.0625,4.0,2048,512,1024,4096,1216,438.59,484.066,440.575,0.0436
mixed,16,1,0.0625,4.0,2048,4096,128,512,152,958.527,970.143,961.31,0.2396
mixed,16,1,0.0625,4.0,2048,4096,1024,4096,1216,982.781,1032.67,988.957,0.1238
mixed,16,1,0.0625,4.0,2048,8192,128,512,152,1565.884,1571.131,1566.048,0.0313
mixed,16,1,0.0625,4.0,2048,8192,1024,4096,1216,1586.207,1633.18,1591.359,0.1097
pure,16,2,0.125,4.0,0,0,128,512,176,28.992,39.297,35.615,0.6427
pure,16,2,0.125,4.0,0,0,1024,4096,1408,51.648,91.04,66.72,0.3826
mixed,16,2,0.125,4.0,16,0,128,512,176,50.848,60.735,57.825,0.7057
mixed,16,2,0.125,4.0,16,0,1024,4096,1408,73.888,112.289,88.608,0.3833
mixed,16,2,0.125,4.0,16,512,128,512,176,74.015,78.178,75.2,0.2847
mixed,16,2,0.125,4.0,16,512,1024,4096,1408,90.625,129.535,105.728,0.3882
mixed,16,2,0.125,4.0,16,4096,128,512,176,204.512,207.551,206.079,0.5156
mixed,16,2,0.125,4.0,16,4096,1024,4096,1408,220.608,260.063,235.71,0.3828
mixed,16,2,0.125,4.0,16,8192,128,512,176,366.43,372.735,366.27,-0.0254
mixed,16,2,0.125,4.0,16,8192,1024,4096,1408,376.126,428.575,396.284,0.3843
mixed,16,2,0.125,4.0,128,0,128,512,176,53.152,63.392,59.423,0.6124
mixed,16,2,0.125,4.0,128,0,1024,4096,1408,75.359,117.152,91.007,0.3744
mixed,16,2,0.125,4.0,128,512,128,512,176,76.961,81.757,77.76,0.1666
mixed,16,2,0.125,4.0,128,512,1024,4096,1408,93.954,135.006,108.832,0.3624
mixed,16,2,0.125,4.0,128,4096,128,512,176,207.744,212.671,208.8,0.2143
mixed,16,2,0.125,4.0,128,4096,1024,4096,1408,225.056,266.398,239.616,0.3522
mixed,16,2,0.125,4.0,128,8192,128,512,176,364.129,377.791,370.27,0.4495
mixed,16,2,0.125,4.0,128,8192,1024,4096,1408,388.16,434.014,401.791,0.2973
mixed,16,2,0.125,4.0,1024,0,128,512,176,153.278,156.672,154.56,0.3777
mixed,16,2,0.125,4.0,1024,0,1024,4096,1408,172.193,223.872,186.112,0.2693
mixed,16,2,0.125,4.0,1024,512,128,512,176,193.665,197.216,193.951,0.0805
mixed,16,2,0.125,4.0,1024,512,1024,4096,1408,212.446,263.231,226.976,0.2861
mixed,16,2,0.125,4.0,1024,4096,128,512,176,487.871,497.92,487.744,-0.0126
mixed,16,2,0.125,4.0,1024,4096,1024,4096,1408,512.479,560.19,514.399,0.0402
mixed,16,2,0.125,4.0,1024,8192,128,512,176,801.214,808.799,797.087,-0.5441
mixed,16,2,0.125,4.0,1024,8192,1024,4096,1408,824.316,871.422,831.39,0.1502
mixed,16,2,0.125,4.0,2048,0,128,512,176,320.288,325.183,321.791,0.307
mixed,16,2,0.125,4.0,2048,0,1024,4096,1408,341.407,393.216,355.617,0.2743
mixed,16,2,0.125,4.0,2048,512,128,512,176,413.055,411.424,413.824,
mixed,16,2,0.125,4.0,2048,512,1024,4096,1408,432.541,484.577,444.001,0.2202
mixed,16,2,0.125,4.0,2048,4096,128,512,176,961.278,971.456,956.864,-0.4337
mixed,16,2,0.125,4.0,2048,4096,1024,4096,1408,986.238,1037.087,989.921,0.0724
mixed,16,2,0.125,4.0,2048,8192,128,512,176,1564.8,1571.103,1567.521,0.4317
mixed,16,2,0.125,4.0,2048,8192,1024,4096,1408,1590.592,1635.133,1597.375,0.1523
pure,16,3,0.1875,4.0,0,0,128,512,200,28.8,39.392,35.809,0.6617
pure,16,3,0.1875,4.0,0,0,1024,4096,1600,55.617,90.144,67.264,0.3373
mixed,16,3,0.1875,4.0,16,0,128,512,200,51.519,60.961,57.472,0.6305
mixed,16,3,0.1875,4.0,16,0,1024,4096,1600,77.215,112.323,89.119,0.3391
mixed,16,3,0.1875,4.0,16,512,128,512,200,74.176,78.752,75.904,0.3776
mixed,16,3,0.1875,4.0,16,512,1024,4096,1600,94.08,129.568,107.296,0.3724
mixed,16,3,0.1875,4.0,16,4096,128,512,200,204.321,208.639,205.595,0.295
mixed,16,3,0.1875,4.0,16,4096,1024,4096,1600,222.846,259.391,237.119,0.3906
mixed,16,3,0.1875,4.0,16,8192,128,512,200,366.914,366.399,367.072,
mixed,16,3,0.1875,4.0,16,8192,1024,4096,1600,395.81,409.983,391.902,-0.2757
mixed,16,3,0.1875,4.0,128,0,128,512,200,53.153,63.007,60.576,0.7533
mixed,16,3,0.1875,4.0,128,0,1024,4096,1600,79.745,117.342,91.68,0.3174
mixed,16,3,0.1875,4.0,128,512,128,512,200,77.217,81.535,78.303,0.2515
mixed,16,3,0.1875,4.0,128,512,1024,4096,1600,97.601,134.945,109.95,0.3307
mixed,16,3,0.1875,4.0,128,4096,128,512,200,208.128,213.853,210.272,0.3745
mixed,16,3,0.1875,4.0,128,4096,1024,4096,1600,227.553,265.504,242.013,0.381
mixed,16,3,0.1875,4.0,128,8192,128,512,200,377.824,377.375,366.368,
mixed,16,3,0.1875,4.0,128,8192,1024,4096,1600,399.006,426.334,402.27,0.1194
mixed,16,3,0.1875,4.0,1024,0,128,512,200,152.513,156.606,154.592,0.5079
mixed,16,3,0.1875,4.0,1024,0,1024,4096,1600,177.088,223.777,188.797,0.2508
mixed,16,3,0.1875,4.0,1024,512,128,512,200,192.416,195.839,194.624,0.645
mixed,16,3,0.1875,4.0,1024,512,1024,4096,1600,217.344,263.615,229.246,0.2572
mixed,16,3,0.1875,4.0,1024,4096,128,512,200,490.271,498.56,489.823,-0.054
mixed,16,3,0.1875,4.0,1024,4096,1024,4096,1600,514.945,558.846,521.728,0.1545
mixed,16,3,0.1875,4.0,1024,8192,128,512,200,802.431,810.78,800.799,-0.1955
mixed,16,3,0.1875,4.0,1024,8192,1024,4096,1600,827.966,871.615,836.191,0.1884
mixed,16,3,0.1875,4.0,2048,0,128,512,200,320.672,325.343,323.039,0.5067
mixed,16,3,0.1875,4.0,2048,0,1024,4096,1600,346.878,392.416,358.113,0.2467
mixed,16,3,0.1875,4.0,2048,512,128,512,200,413.439,419.102,407.329,-1.0789
mixed,16,3,0.1875,4.0,2048,512,1024,4096,1600,439.197,475.934,445.982,0.1847
mixed,16,3,0.1875,4.0,2048,4096,128,512,200,964.605,970.845,963.518,-0.1742
mixed,16,3,0.1875,4.0,2048,4096,1024,4096,1600,992.573,1037.182,997.599,0.1127
mixed,16,3,0.1875,4.0,2048,8192,128,512,200,1565.95,1578.364,1566.942,0.0799
mixed,16,3,0.1875,4.0,2048,8192,1024,4096,1600,1600.418,1640.926,1599.388,-0.0254
pure,16,4,0.25,4.0,0,0,128,512,224,29.888,39.326,36.447,0.695
pure,16,4,0.25,4.0,0,0,1024,4096,1792,57.473,90.88,69.154,0.3497
mixed,16,4,0.25,4.0,16,0,128,512,224,51.103,60.992,58.272,0.7249
mixed,16,4,0.25,4.0,16,0,1024,4096,1792,78.336,112.862,90.56,0.3541
mixed,16,4,0.25,4.0,16,512,128,512,224,74.56,78.689,75.615,0.2555
mixed,16,4,0.25,4.0,16,512,1024,4096,1792,96.608,130.624,108.416,0.3471
mixed,16,4,0.25,4.0,16,4096,128,512,224,206.272,208.161,206.817,0.2885
mixed,16,4,0.25,4.0,16,4096,1024,4096,1792,226.783,260.094,237.696,0.3276
mixed,16,4,0.25,4.0,16,8192,128,512,224,369.79,373.728,367.456,-0.5927
mixed,16,4,0.25,4.0,16,8192,1024,4096,1792,391.36,422.72,394.368,0.0959
mixed,16,4,0.25,4.0,128,0,128,512,224,53.794,63.617,60.769,0.7101
mixed,16,4,0.25,4.0,128,0,1024,4096,1792,81.57,117.632,93.279,0.3247
mixed,16,4,0.25,4.0,128,512,128,512,224,77.729,81.311,79.36,0.4553
mixed,16,4,0.25,4.0,128,512,1024,4096,1792,100.739,134.751,111.041,0.3029
mixed,16,4,0.25,4.0,128,4096,128,512,224,208.864,212.543,209.983,0.3042
mixed,16,4,0.25,4.0,128,4096,1024,4096,1792,230.846,266.24,241.44,0.2993
mixed,16,4,0.25,4.0,128,8192,128,512,224,372.703,387.263,370.688,-0.1384
mixed,16,4,0.25,4.0,128,8192,1024,4096,1792,394.176,426.431,399.805,0.1745
mixed,16,4,0.25,4.0,1024,0,128,512,224,153.792,156.447,154.496,0.2652
mixed,16,4,0.25,4.0,1024,0,1024,4096,1792,179.841,222.144,191.84,0.2836
mixed,16,4,0.25,4.0,1024,512,128,512,224,193.726,197.79,194.912,0.2918
mixed,16,4,0.25,4.0,1024,512,1024,4096,1792,219.905,263.871,231.585,0.2657
mixed,16,4,0.25,4.0,1024,4096,128,512,224,489.376,497.854,489.215,-0.019
mixed,16,4,0.25,4.0,1024,4096,1024,4096,1792,518.91,560.734,522.369,0.0827
mixed,16,4,0.25,4.0,1024,8192,128,512,224,802.046,809.95,800.795,-0.1583
mixed,16,4,0.25,4.0,1024,8192,1024,4096,1792,833.564,872.159,836.638,0.0796
mixed,16,4,0.25,4.0,2048,0,128,512,224,321.343,325.408,322.785,0.3547
mixed,16,4,0.25,4.0,2048,0,1024,4096,1792,350.015,392.928,361.696,0.2722
mixed,16,4,0.25,4.0,2048,512,128,512,224,421.152,427.649,406.688,-2.2263
mixed,16,4,0.25,4.0,2048,512,1024,4096,1792,434.27,484.478,450.624,0.3257
mixed,16,4,0.25,4.0,2048,4096,128,512,224,962.654,970.718,962.273,-0.0472
mixed,16,4,0.25,4.0,2048,4096,1024,4096,1792,996.577,1034.302,999.198,0.0695
mixed,16,4,0.25,4.0,2048,8192,128,512,224,1566.3,1577.053,1566.173,-0.0118
mixed,16,4,0.25,4.0,2048,8192,1024,4096,1792,1597.567,1638.078,1602.206,0.1145
pure,16,8,0.5,4.0,0,0,128,512,320,33.569,39.295,37.12,0.6202
pure,16,8,0.5,4.0,0,0,1024,4096,2560,69.153,90.465,74.014,0.2281
mixed,16,8,0.5,4.0,16,0,128,512,320,54.915,60.672,58.88,0.6887
mixed,16,8,0.5,4.0,16,0,1024,4096,2560,90.591,113.024,95.936,0.2383
mixed,16,8,0.5,4.0,16,512,128,512,320,73.885,78.847,76.959,0.6195
mixed,16,8,0.5,4.0,16,512,1024,4096,2560,109.151,130.015,112.961,0.1826
mixed,16,8,0.5,4.0,16,4096,128,512,320,204.832,209.631,207.521,0.5603
mixed,16,8,0.5,4.0,16,4096,1024,4096,2560,239.168,260.705,243.49,0.2007
mixed,16,8,0.5,4.0,16,8192,128,512,320,367.007,381.535,367.744,0.0507
mixed,16,8,0.5,4.0,16,8192,1024,4096,2560,400.126,421.822,404.062,0.1814
mixed,16,8,0.5,4.0,128,0,128,512,320,57.055,63.328,60.704,0.5817
mixed,16,8,0.5,4.0,128,0,1024,4096,2560,94.623,117.343,98.975,0.1915
mixed,16,8,0.5,4.0,128,512,128,512,320,76.864,81.056,79.008,0.5115
mixed,16,8,0.5,4.0,128,512,1024,4096,2560,113.984,136.032,116.991,0.1364
mixed,16,8,0.5,4.0,128,4096,128,512,320,208.512,212.766,211.103,0.6091
mixed,16,8,0.5,4.0,128,4096,1024,4096,2560,244.193,265.596,248.446,0.1987
mixed,16,8,0.5,4.0,128,8192,128,512,320,372.191,384.447,375.904,0.303
mixed,16,8,0.5,4.0,128,8192,1024,4096,2560,400.926,427.584,400.992,0.0025
mixed,16,8,0.5,4.0,1024,0,128,512,320,152.673,157.44,154.914,0.4701
mixed,16,8,0.5,4.0,1024,0,1024,4096,2560,195.422,222.432,201.377,0.2205
mixed,16,8,0.5,4.0,1024,512,128,512,320,192.669,197.728,195.518,0.5632
mixed,16,8,0.5,4.0,1024,512,1024,4096,2560,235.585,263.073,240.864,0.192
mixed,16,8,0.5,4.0,1024,4096,128,512,320,490.944,498.366,489.759,-0.1597
mixed,16,8,0.5,4.0,1024,4096,1024,4096,2560,532.894,560.767,533.502,0.0218
mixed,16,8,0.5,4.0,1024,8192,128,512,320,803.199,810.11,801.245,-0.2827
mixed,16,8,0.5,4.0,1024,8192,1024,4096,2560,849.76,872.831,844.703,-0.2192
mixed,16,8,0.5,4.0,2048,0,128,512,320,320.672,325.535,324.224,0.7304
mixed,16,8,0.5,4.0,2048,0,1024,4096,2560,364.8,392.061,371.521,0.2465
mixed,16,8,0.5,4.0,2048,512,128,512,320,413.919,427.165,419.391,0.4131
mixed,16,8,0.5,4.0,2048,512,1024,4096,2560,461.665,490.271,457.984,-0.1287
mixed,16,8,0.5,4.0,2048,4096,128,512,320,965.5,970.494,964.126,-0.2751
mixed,16,8,0.5,4.0,2048,4096,1024,4096,2560,1006.848,1038.27,1009.118,0.0722
mixed,16,8,0.5,4.0,2048,8192,128,512,320,1560.223,1573.468,1567.874,0.5777
mixed,16,8,0.5,4.0,2048,8192,1024,4096,2560,1613.21,1635.613,1615.356,0.0958
pure,16,12,0.75,4.0,0,0,128,512,416,33.535,39.167,37.57,0.7164
pure,16,12,0.75,4.0,0,0,1024,4096,3328,79.616,91.009,81.151,0.1347
mixed,16,12,0.75,4.0,16,0,128,512,416,55.264,61.183,59.745,0.7571
mixed,16,12,0.75,4.0,16,0,1024,4096,3328,101.44,112.736,103.487,0.1812
mixed,16,12,0.75,4.0,16,512,128,512,416,75.777,79.232,77.281,0.4353
mixed,16,12,0.75,4.0,16,512,1024,4096,3328,119.618,130.785,121.216,0.1431
mixed,16,12,0.75,4.0,16,4096,128,512,416,205.761,208.255,208.289,1.0136
mixed,16,12,0.75,4.0,16,4096,1024,4096,3328,249.952,261.725,250.879,0.0787
mixed,16,12,0.75,4.0,16,8192,128,512,416,367.712,372.959,363.873,-0.7317
mixed,16,12,0.75,4.0,16,8192,1024,4096,3328,416.447,421.66,407.487,-1.7188
mixed,16,12,0.75,4.0,128,0,128,512,416,57.152,63.136,62.337,0.8665
mixed,16,12,0.75,4.0,128,0,1024,4096,3328,107.296,116.927,107.648,0.0365
mixed,16,12,0.75,4.0,128,512,128,512,416,77.44,82.078,80.288,0.6141
mixed,16,12,0.75,4.0,128,512,1024,4096,3328,124.992,134.783,126.112,0.1144
mixed,16,12,0.75,4.0,128,4096,128,512,416,209.089,213.601,211.071,0.4393
mixed,16,12,0.75,4.0,128,4096,1024,4096,3328,255.937,265.248,257.631,0.1819
mixed,16,12,0.75,4.0,128,8192,128,512,416,364.318,385.663,372.065,0.3629
mixed,16,12,0.75,4.0,128,8192,1024,4096,3328,418.109,422.336,418.495,0.0913
mixed,16,12,0.75,4.0,1024,0,128,512,416,152.992,158.559,155.648,0.4771
mixed,16,12,0.75,4.0,1024,0,1024,4096,3328,208.354,222.208,210.847,0.1799
mixed,16,12,0.75,4.0,1024,512,128,512,416,194.304,197.375,196.127,0.5936
mixed,16,12,0.75,4.0,1024,512,1024,4096,3328,249.281,262.942,251.936,0.1943
mixed,16,12,0.75,4.0,1024,4096,128,512,416,490.462,497.565,485.279,-0.7297
mixed,16,12,0.75,4.0,1024,4096,1024,4096,3328,546.59,560.863,542.241,-0.3047
mixed,16,12,0.75,4.0,1024,8192,128,512,416,802.558,811.615,802.814,0.0283
mixed,16,12,0.75,4.0,1024,8192,1024,4096,3328,861.982,873.086,852.894,-0.8184
mixed,16,12,0.75,4.0,2048,0,128,512,416,322.431,325.088,325.119,1.0117
mixed,16,12,0.75,4.0,2048,0,1024,4096,3328,377.695,394.048,380.126,0.1487
mixed,16,12,0.75,4.0,2048,512,128,512,416,413.025,426.43,414.205,0.088
mixed,16,12,0.75,4.0,2048,512,1024,4096,3328,469.024,484.671,468.415,-0.0389
mixed,16,12,0.75,4.0,2048,4096,128,512,416,966.079,973.854,963.582,-0.3212
mixed,16,12,0.75,4.0,2048,4096,1024,4096,3328,1021.631,1037.213,1015.104,-0.4189
mixed,16,12,0.75,4.0,2048,8192,128,512,416,1566.845,1576.093,1571.169,0.4676
mixed,16,12,0.75,4.0,2048,8192,1024,4096,3328,1624.382,1636.637,1623.035,-0.1099
pure,16,14,0.875,4.0,0,0,128,512,464,33.856,39.295,38.816,0.9119
pure,16,14,0.875,4.0,0,0,1024,4096,3712,84.703,90.561,85.759,0.1803
mixed,16,14,0.875,4.0,16,0,128,512,464,56.161,60.864,60.642,0.9528
mixed,16,14,0.875,4.0,16,0,1024,4096,3712,106.624,113.184,107.523,0.137
mixed,16,14,0.875,4.0,16,512,128,512,464,75.678,78.273,77.951,0.8759
mixed,16,14,0.875,4.0,16,512,1024,4096,3712,124.639,129.633,126.144,0.3014
mixed,16,14,0.875,4.0,16,4096,128,512,464,206.239,209.088,207.968,0.6069
mixed,16,14,0.875,4.0,16,4096,1024,4096,3712,255.201,260.672,255.551,0.064
mixed,16,14,0.875,4.0,16,8192,128,512,464,367.612,374.24,373.983,0.9612
mixed,16,14,0.875,4.0,16,8192,1024,4096,3712,417.409,426.144,411.52,-0.6742
mixed,16,14,0.875,4.0,128,0,128,512,464,58.912,63.648,62.719,0.8038
mixed,16,14,0.875,4.0,128,0,1024,4096,3712,111.457,116.991,112.543,0.1962
mixed,16,14,0.875,4.0,128,512,128,512,464,78.462,81.73,80.672,0.6763
mixed,16,14,0.875,4.0,128,512,1024,4096,3712,129.762,134.655,130.656,0.1827
mixed,16,14,0.875,4.0,128,4096,128,512,464,209.791,213.983,211.423,0.3893
mixed,16,14,0.875,4.0,128,4096,1024,4096,3712,259.2,265.696,261.854,0.4086
mixed,16,14,0.875,4.0,128,8192,128,512,464,372.447,369.725,378.302,
mixed,16,14,0.875,4.0,128,8192,1024,4096,3712,431.359,435.005,418.207,-3.6072
mixed,16,14,0.875,4.0,1024,0,128,512,464,153.792,157.216,156.702,0.8499
mixed,16,14,0.875,4.0,1024,0,1024,4096,3712,216.415,222.177,216.958,0.0942
mixed,16,14,0.875,4.0,1024,512,128,512,464,195.521,197.055,196.352,0.5417
mixed,16,14,0.875,4.0,1024,512,1024,4096,3712,256.001,261.985,257.185,0.1979
mixed,16,14,0.875,4.0,1024,4096,128,512,464,491.807,499.359,491.391,-0.0551
mixed,16,14,0.875,4.0,1024,4096,1024,4096,3712,553.79,560.064,547.582,-0.9895
mixed,16,14,0.875,4.0,1024,8192,128,512,464,804.701,812.67,806.43,0.217
mixed,16,14,0.875,4.0,1024,8192,1024,4096,3712,866.045,871.483,859.425,-1.2174
mixed,16,14,0.875,4.0,2048,0,128,512,464,323.012,326.718,324.673,0.4482
mixed,16,14,0.875,4.0,2048,0,1024,4096,3712,385.024,393.599,388.704,0.4292
mixed,16,14,0.875,4.0,2048,512,128,512,464,421.054,427.073,421.279,0.0374
mixed,16,14,0.875,4.0,2048,512,1024,4096,3712,470.848,489.154,476.897,0.3304
mixed,16,14,0.875,4.0,2048,4096,128,512,464,965.281,972.831,963.613,-0.2209
mixed,16,14,0.875,4.0,2048,4096,1024,4096,3712,1027.23,1033.278,1020.736,-1.0737
mixed,16,14,0.875,4.0,2048,8192,128,512,464,1568.609,1576.731,1567.934,-0.0831
mixed,16,14,0.875,4.0,2048,8192,1024,4096,3712,1634.527,1637.917,1625.437,-2.6814
pure,128,1,0.0078,4.0,0,0,128,512,131,55.776,108.705,57.216,0.0272
pure,128,1,0.0078,4.0,0,0,1024,4096,1048,172.192,505.31,174.751,0.0077
mixed,128,1,0.0078,4.0,16,0,128,512,131,77.569,130.496,78.945,0.026
mixed,128,1,0.0078,4.0,16,0,1024,4096,1048,194.944,526.398,199.488,0.0137
mixed,128,1,0.0078,4.0,16,512,128,512,131,95.585,149.665,96.993,0.026
mixed,128,1,0.0078,4.0,16,512,1024,4096,1048,214.179,543.582,217.694,0.0107
mixed,128,1,0.0078,4.0,16,4096,128,512,131,226.592,278.975,229.887,0.0629
mixed,128,1,0.0078,4.0,16,4096,1024,4096,1048,340.927,672.607,348.448,0.0227
mixed,128,1,0.0078,4.0,16,8192,128,512,131,381.505,431.68,388.288,0.1352
mixed,128,1,0.0078,4.0,16,8192,1024,4096,1048,497.567,825.053,502.495,0.015
mixed,128,1,0.0078,4.0,128,0,128,512,131,80.16,132.706,81.633,0.028
mixed,128,1,0.0078,4.0,128,0,1024,4096,1048,199.521,529.407,205.758,0.0189
mixed,128,1,0.0078,4.0,128,512,128,512,131,98.558,150.398,101.759,0.0617
mixed,128,1,0.0078,4.0,128,512,1024,4096,1048,215.585,547.328,221.503,0.0178
mixed,128,1,0.0078,4.0,128,4096,128,512,131,229.759,280.672,230.976,0.0239
mixed,128,1,0.0078,4.0,128,4096,1024,4096,1048,346.337,678.72,354.879,0.0257
mixed,128,1,0.0078,4.0,128,8192,128,512,131,391.934,446.207,394.239,0.0425
mixed,128,1,0.0078,4.0,128,8192,1024,4096,1048,507.776,832.321,509.278,0.0046
mixed,128,1,0.0078,4.0,1024,0,128,512,131,174.017,231.808,176.451,0.0421
mixed,128,1,0.0078,4.0,1024,0,1024,4096,1048,299.36,632.479,305.757,0.0192
mixed,128,1,0.0078,4.0,1024,512,128,512,131,213.888,272.285,215.679,0.0307
mixed,128,1,0.0078,4.0,1024,512,1024,4096,1048,340.382,670.494,346.687,0.0191
mixed,128,1,0.0078,4.0,1024,4096,128,512,131,510.946,577.277,513.152,0.0333
mixed,128,1,0.0078,4.0,1024,4096,1024,4096,1048,641.375,960.704,640.447,-0.0029
mixed,128,1,0.0078,4.0,1024,8192,128,512,131,826.657,887.647,829.119,0.0404
mixed,128,1,0.0078,4.0,1024,8192,1024,4096,1048,952.925,1272.126,950.815,-0.0066
mixed,128,1,0.0078,4.0,2048,0,128,512,131,344.8,401.119,345.441,0.0114
mixed,128,1,0.0078,4.0,2048,0,1024,4096,1048,472.223,808.832,475.647,0.0102
mixed,128,1,0.0078,4.0,2048,512,128,512,131,439.167,497.66,442.015,0.0487
mixed,128,1,0.0078,4.0,2048,512,1024,4096,1048,568.257,893.119,570.366,0.0065
