prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,7.91467
0,0,1,64,7.84033
0,0,1,256,8.88533
0,0,1,1024,10.357
0,0,1,4096,10.9977
0,0,1,16384,19.0507
0,0,2,16,8.14933
0,0,2,64,8.14933
0,0,2,256,9.25867
0,0,2,1024,10.464
0,0,2,4096,11.7543
0,0,2,16384,21.973
0,0,4,16,8.62967
0,0,4,64,8.52267
0,0,4,256,9.80267
0,0,4,1024,10.7517
0,0,4,4096,16.438
0,0,4,16384,30.528
0,0,8,16,8.57567
0,0,8,64,8.693
0,0,8,256,10.2507
0,0,8,1024,12.2347
0,0,8,4096,19.669
0,0,8,16384,47.648
0,0,16,16,9.06633
0,0,16,64,9.34433
0,0,16,256,11.051
0,0,16,1024,15.68
0,0,16,4096,30.3787
0,0,16,16384,85.2693
0,0,32,16,10.0583
0,0,32,64,10.219
0,0,32,256,12.864
0,0,32,1024,21.13
0,0,32,4096,50.7943
0,0,32,16384,158.474
0,0,64,16,13.4293
0,0,64,64,13.3333
0,0,64,256,18.3787
0,0,64,1024,34.9007
0,0,64,4096,91.7863
0,0,64,16384,311.456
0,0,128,16,19.2317
0,0,128,64,19.0397
0,0,128,256,26.0053
0,0,128,1024,57.131
0,0,128,4096,168.373
0,0,128,16384,606.837
0,0,256,16,31.5413
0,0,256,64,31.04
0,0,256,256,39.6583
0,0,256,1024,91.7863
0,0,256,4096,307.69
0,0,256,16384,1172.89
16,0,0,0,10.1973
16,0,1,16,15.5307
16,0,1,64,15.6907
16,0,1,256,16.8223
16,0,1,1024,18.122
16,0,1,4096,18.912
16,0,1,16384,27.0403
16,0,2,16,16.203
16,0,2,64,16.075
16,0,2,256,17.429
16,0,2,1024,18.3897
16,0,2,4096,19.8603
16,0,2,16384,30.091
16,0,4,16,16.2883
16,0,4,64,16.4273
16,0,4,256,17.5887
16,0,4,1024,18.7303
16,0,4,4096,24.267
16,0,4,16384,38.5283
16,0,8,16,16.2987
16,0,8,64,16.384
16,0,8,256,18.0157
16,0,8,1024,19.8187
16,0,8,4096,27.253
16,0,8,16384,55.7433
16,0,16,16,16.576
16,0,16,64,16.736
16,0,16,256,18.336
16,0,16,1024,23.0183
16,0,16,4096,37.6633
16,0,16,16384,94.0367
16,0,32,16,17.3867
16,0,32,64,17.5573
16,0,32,256,20.4687
16,0,32,1024,28.5973
16,0,32,4096,58.251
16,0,32,16384,166.464
16,0,64,16,20.7993
16,0,64,64,20.1177
16,0,64,256,25.451
16,0,64,1024,41.568
16,0,64,4096,99.6053
16,0,64,16384,321.674
16,0,128,16,26.7527
16,0,128,64,26.1757
16,0,128,256,32.8747
16,0,128,1024,63.936
16,0,128,4096,175.274
16,0,128,16384,620.138
16,16,0,0,10.155
16,16,1,16,15.68
16,16,1,64,15.7973
16,16,1,256,16.7577
16,16,1,1024,18.0797
16,16,1,4096,18.9763
16,16,1,16384,26.848
16,16,2,16,16.0743
16,16,2,64,16.31
16,16,2,256,17.3327
16,16,2,1024,18.56
16,16,2,4096,19.7327
16,16,2,16384,29.93
16,16,4,16,16.2663
16,16,4,64,16.31
16,16,4,256,17.4933
16,16,4,1024,18.5387
16,16,4,4096,23.9893
16,16,4,16384,38.528
16,16,8,16,16.064
16,16,8,64,16.2453
16,16,8,256,17.771
16,16,8,1024,19.5837
16,16,8,4096,27.05
16,16,8,16384,55.3923
16,16,16,16,16.4907
16,16,16,64,16.619
16,16,16,256,18.39
16,16,16,1024,22.966
16,16,16,4096,37.77
16,16,16,16384,93.493
16,16,32,16,17.4827
16,16,32,64,17.429
16,16,32,256,20.426
16,16,32,1024,28.523
16,16,32,4096,58.1017
16,16,32,16384,166.517
16,16,64,16,20.544
16,16,64,64,20.17
16,16,64,256,25.546
16,16,64,1024,41.6533
16,16,64,4096,99.317
16,16,64,16384,316.811
16,16,128,16,26.7733
16,16,128,64,26.058
