tokens,activated_experts,time_us
1,8,77.9513
2,8,79.4027
2,16,127.327
4,8,81.0127
4,16,127.946
4,32,215.392
8,8,81.408
8,16,128.064
8,32,218.208
8,64,383.604
16,8,85.866
16,16,131.616
16,32,218.388
16,64,384.64
16,128,719.923
32,8,109.259
32,16,133.546
32,32,222.58
32,64,389.142
32,128,724.083
64,8,128.128
64,16,153.142
64,32,238.783
64,64,419.263
64,128,771.614
128,8,128.833
128,16,156.799
128,32,248.992
128,64,435.754
128,128,793.108
256,8,183.605
256,16,199.796
256,32,262.463
256,64,444.797
256,128,799.548
512,8,294.858
512,16,310.559
512,32,350.122
512,64,471.969
512,128,822.783
1024,8,418.121
1024,16,439.786
1024,32,482.634
1024,64,576.158
1024,128,983.359
2048,8,737.001
2048,16,760.605
2048,32,804.212
2048,64,883.156
2048,128,1059.21
