pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.3228,2
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.5927,1
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.6799,2
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.362,2
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.3603,2
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.0329,2
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.3464,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.5603,1
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.6195,1
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.0507,1
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.6978,3
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.2007,1
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.1826,1
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,0.1814,1
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.2383,1
16,n<=16,sr>70%,kvB<=1k,kp<=4k,0.7833,2
16,n<=16,sr>70%,kvB<=1k,kp<=512,0.5942,2
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.309,2
16,n<=16,sr>70%,kvB<=1k,kp=0,0.8328,2
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.0761,2
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.1695,2
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.9485,2
16,n<=16,sr>70%,kvB<=4k,kp=0,0.1701,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,1.107,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,2.6456,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,1.2945,1
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,0.0,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.1119,1
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.8049,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.3149,1
128,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.093,2
128,n<=128,sr<=15%,kvB<=1k,kp<=512,0.1079,2
128,n<=128,sr<=15%,kvB<=1k,kp<=8k,-0.1035,2
128,n<=128,sr<=15%,kvB<=1k,kp=0,0.1136,2
128,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.0117,2
128,n<=128,sr<=15%,kvB<=4k,kp<=512,0.017,2
128,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.0174,2
128,n<=128,sr<=15%,kvB<=4k,kp=0,0.0173,2
128,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.246,1
128,n<=128,sr<=40%,kvB<=1k,kp<=512,0.2378,1
128,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.2122,1
128,n<=128,sr<=40%,kvB<=1k,kp=0,0.2479,1
128,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.0008,1
128,n<=128,sr<=40%,kvB<=4k,kp<=512,-0.0095,1
128,n<=128,sr<=40%,kvB<=4k,kp<=8k,-0.002,1
128,n<=128,sr<=40%,kvB<=4k,kp=0,-0.0139,1
128,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.0456,4
128,n<=128,sr<=5%,kvB<=1k,kp<=512,0.0614,4
128,n<=128,sr<=5%,kvB<=1k,kp<=8k,-0.0332,4
128,n<=128,sr<=5%,kvB<=1k,kp=0,0.041,4
128,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.0232,4
128,n<=128,sr<=5%,kvB<=4k,kp<=512,0.0214,4
128,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.0139,4
128,n<=128,sr<=5%,kvB<=4k,kp=0,0.0222,4
