prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
0,0,1,16,8.331
0,0,1,64,8.907
0,0,1,256,9.824
0,0,1,1024,11.029
0,0,1,4096,11.7547
0,0,1,16384,21.9623
0,0,2,16,12.213
0,0,2,64,12.2347
0,0,2,256,13.621
0,0,2,1024,14.549
0,0,2,4096,19.829
0,0,2,16384,33.6213
0,0,4,16,12.544
0,0,4,64,12.6617
0,0,4,256,13.888
0,0,4,1024,15.5203
0,0,4,4096,22.6667
0,0,4,16384,50.229
0,0,8,16,12.8
0,0,8,64,12.9173
0,0,8,256,14.3893
0,0,8,1024,17.963
0,0,8,4096,31.9043
0,0,8,16384,86.08
0,0,16,16,14.0583
0,0,16,64,13.9307
0,0,16,256,15.7657
0,0,16,1024,22.5813
0,0,16,4096,50.0907
0,0,16,16384,157.792
0,0,32,16,17.365
0,0,32,64,17.1837
0,0,32,256,20.9067
0,0,32,1024,33.8027
0,0,32,4096,88.597
0,0,32,16384,310.005
0,0,64,16,23.8083
0,0,64,64,23.0503
0,0,64,256,28.9173
0,0,64,1024,55.5623
0,0,64,4096,166.613
0,0,64,16384,610.773
0,0,128,16,37.771
0,0,128,64,36.789
0,0,128,256,45.408
0,0,128,1024,95.4983
0,0,128,4096,310.784
0,0,128,16384,1174.02
0,0,256,16,64.075
0,0,256,64,62.4643
0,0,256,256,77.1097
0,0,256,1024,176.778
0,0,256,4096,608.18
0,0,256,16384,2329.19
16,0,0,0,14.9123
16,0,1,16,20.7043
16,0,1,64,20.8313
16,0,1,256,21.994
16,0,1,1024,22.7623
16,0,1,4096,24.096
16,0,1,16384,33.984
16,0,2,16,24.5117
16,0,2,64,24.4163
16,0,2,256,25.643
16,0,2,1024,26.4533
16,0,2,4096,31.99
16,0,2,16384,46.5927
16,0,4,16,24.3523
16,0,4,64,24.427
16,0,4,256,25.7923
16,0,4,1024,27.6273
16,0,4,4096,34.709
16,0,4,16384,62.848
16,0,8,16,24.651
16,0,8,64,24.8003
16,0,8,256,26.1333
16,0,8,1024,30.005
16,0,8,4096,44.4697
16,0,8,16384,99.4553
16,0,16,16,25.5793
16,0,16,64,25.493
16,0,16,256,27.6377
16,0,16,1024,34.3147
16,0,16,4096,62.6667
16,0,16,16384,170.954
16,0,32,16,29.1833
16,0,32,64,28.65
16,0,32,256,32.875
16,0,32,1024,46.2827
16,0,32,4096,100.938
16,0,32,16384,320.895
16,0,64,16,35.254
16,0,64,64,34.6453
16,0,64,256,40.661
16,0,64,1024,68.2773
16,0,64,4096,178.54
16,0,64,16384,622.206
16,0,128,16,49.248
16,0,128,64,48.278
16,0,128,256,56.555
16,0,128,1024,107.754
16,0,128,4096,323.051
16,0,128,16384,1191.04
16,16,0,0,14.869
16,16,1,16,20.747
16,16,1,64,20.992
16,16,1,256,21.7597
16,16,1,1024,22.9013
16,16,1,4096,24.0643
16,16,1,16384,33.941
16,16,2,16,24.672
16,16,2,64,24.597
16,16,2,256,25.4927
16,16,2,1024,26.6347
16,16,2,4096,32.2133
16,16,2,16384,46.4427
16,16,4,16,24.5863
16,16,4,64,24.4053
16,16,4,256,25.941
16,16,4,1024,27.5943
16,16,4,4096,34.8803
16,16,4,16384,63.295
16,16,8,16,24.4693
16,16,8,64,24.7043
16,16,8,256,25.9833
16,16,8,1024,29.9303
16,16,8,4096,44.299
16,16,8,16384,98.4413
16,16,16,16,25.4823
16,16,16,64,25.6317
16,16,16,256,27.563
16,16,16,1024,34.6123
16,16,16,4096,62.8897
16,16,16,16384,170.591
16,16,32,16,29.249
16,16,32,64,29.024
16,16,32,256,32.6497
16,16,32,1024,46.5387
16,16,32,4096,101.28
16,16,32,16384,319.37
16,16,64,16,35.3177
16,16,64,64,34.8797
16,16,64,256,40.6817
16,16,64,1024,67.286
16,16,64,4096,177.888
16,16,64,16384,623.519
16,16,128,16,49.195
16,16,128,64,48.854
16,16,128,256,57.0133
16,16,128,1024,107.797
16,16,128,4096,322.751
16,16,128,16384,1184.91
16,64,0,0,14.859
16,64,1,16,20.565
16,64,1,64,20.6827
16,64,1,256,21.92
16,64,1,1024,22.806
16,64,1,4096,23.904
16,64,1,16384,34.2287
16,64,2,16,24.203
16,64,2,64,24.384
16,64,2,256,25.4293
16,64,2,1024,26.5707
16,64,2,4096,31.9787
16,64,2,16384,46.1227
16,64,4,16,24.427
16,64,4,64,24.3303
16,64,4,256,25.686
16,64,4,1024,27.4557
16,64,4,4096,34.7733
16,64,4,16384,63.2103
16,64,8,16,24.448
16,64,8,64,24.4477
16,64,8,256,26.0373
16,64,8,1024,29.7803
16,64,8,4096,44.501
16,64,8,16384,98.528
16,64,16,16,25.5167
16,64,16,64,25.3337
16,64,16,256,27.6793
16,64,16,1024,34.4323
16,64,16,4096,62.6123
16,64,16,16384,170.144
16,64,32,16,29.2587
16,64,32,64,28.9703
