pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
0,n<=128,sr<=15%,kvB<=1k,kp=0,0.2383,2
0,n<=128,sr<=15%,kvB<=4k,kp=0,0.1915,2
0,n<=128,sr<=40%,kvB<=1k,kp=0,0.2117,1
0,n<=128,sr<=40%,kvB<=4k,kp=0,0.064,1
0,n<=128,sr<=5%,kvB<=1k,kp=0,0.2453,4
0,n<=128,sr<=5%,kvB<=4k,kp=0,0.2235,4
0,n<=128,sr<=70%,kvB<=1k,kp=0,0.0698,1
0,n<=128,sr<=70%,kvB<=4k,kp=0,0.0376,1
0,n<=128,sr>70%,kvB<=1k,kp=0,0.7719,2
0,n<=128,sr>70%,kvB<=4k,kp=0,0.3568,2
0,n<=16,sr<=15%,kvB<=1k,kp=0,0.8159,4
0,n<=16,sr<=15%,kvB<=4k,kp=0,0.3739,3
0,n<=16,sr<=40%,kvB<=1k,kp=0,0.9088,2
0,n<=16,sr<=40%,kvB<=4k,kp=0,0.3629,2
0,n<=16,sr<=70%,kvB<=1k,kp=0,0.8861,1
0,n<=16,sr<=70%,kvB<=4k,kp=0,0.2915,1
0,n<=16,sr>70%,kvB<=1k,kp=0,0.9527,2
0,n<=16,sr>70%,kvB<=4k,kp=0,0.0673,2
0,n<=2,sr<=70%,kvB<=1k,kp=0,0.696,1
0,n<=2,sr<=70%,kvB<=4k,kp=0,1.2304,1
0,n<=256,sr<=15%,kvB<=1k,kp=0,0.1163,2
0,n<=256,sr<=15%,kvB<=4k,kp=0,0.0111,2
0,n<=256,sr<=40%,kvB<=1k,kp=0,0.246,1
0,n<=256,sr<=40%,kvB<=4k,kp=0,-0.0113,1
0,n<=256,sr<=5%,kvB<=1k,kp=0,0.0357,4
0,n<=256,sr<=5%,kvB<=4k,kp=0,0.0155,4
0,n<=256,sr<=70%,kvB<=1k,kp=0,0.059,1
0,n<=256,sr<=70%,kvB<=4k,kp=0,0.0084,1
0,n<=256,sr>70%,kvB<=1k,kp=0,0.4862,2
0,n<=256,sr>70%,kvB<=4k,kp=0,0.079,2
16,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.2418,2
16,n<=128,sr<=15%,kvB<=1k,kp<=512,0.2643,2
16,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.088,2
16,n<=128,sr<=15%,kvB<=1k,kp=0,0.2173,5
16,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.1933,2
16,n<=128,sr<=15%,kvB<=4k,kp<=512,0.1901,2
16,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.1823,2
16,n<=128,sr<=15%,kvB<=4k,kp=0,0.1885,3
16,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.1947,1
16,n<=128,sr<=40%,kvB<=1k,kp<=512,0.2377,1
16,n<=128,sr<=40%,kvB<=1k,kp<=8k,-0.0807,1
16,n<=128,sr<=40%,kvB<=1k,kp=0,0.1972,1
16,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.0763,1
16,n<=128,sr<=40%,kvB<=4k,kp<=512,0.0641,1
16,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.0733,1
16,n<=128,sr<=40%,kvB<=4k,kp=0,0.0702,1
16,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.2462,4
16,n<=128,sr<=5%,kvB<=1k,kp<=512,0.2574,4
16,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.1402,4
16,n<=128,sr<=5%,kvB<=1k,kp=0,0.2427,4
16,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.214,4
16,n<=128,sr<=5%,kvB<=4k,kp<=512,0.223,4
16,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.2249,4
16,n<=128,sr<=5%,kvB<=4k,kp=0,0.2267,4
16,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.1014,1
16,n<=128,sr<=70%,kvB<=1k,kp<=512,0.1342,1
16,n<=128,sr<=70%,kvB<=1k,kp<=8k,-0.302,1
16,n<=128,sr<=70%,kvB<=1k,kp=0,0.1334,1
16,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.0146,1
16,n<=128,sr<=70%,kvB<=4k,kp<=512,0.0343,1
16,n<=128,sr<=70%,kvB<=4k,kp<=8k,-0.0222,1
16,n<=128,sr<=70%,kvB<=4k,kp=0,-0.0065,1
16,n<=128,sr>70%,kvB<=1k,kp<=4k,0.675,2
16,n<=128,sr>70%,kvB<=1k,kp<=512,0.569,2
16,n<=128,sr>70%,kvB<=1k,kp<=8k,0.7613,2
16,n<=128,sr>70%,kvB<=1k,kp=0,0.5188,2
16,n<=128,sr>70%,kvB<=4k,kp<=4k,0.3243,2
16,n<=128,sr>70%,kvB<=4k,kp<=512,0.3747,2
16,n<=128,sr>70%,kvB<=4k,kp<=8k,0.4309,2
16,n<=128,sr>70%,kvB<=4k,kp=0,0.4103,2
16,n<=16,sr<=15%,kvB<=1k,kp<=4k,-0.0926,2
16,n<=16,sr<=15%,kvB<=1k,kp<=512,0.6159,2
16,n<=16,sr<=15%,kvB<=1k,kp<=8k,0.1758,1
16,n<=16,sr<=15%,kvB<=1k,kp=0,0.7543,5
16,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.351,2
16,n<=16,sr<=15%,kvB<=4k,kp<=512,0.4078,2
16,n<=16,sr<=15%,kvB<=4k,kp<=8k,0.3388,2
16,n<=16,sr<=15%,kvB<=4k,kp=0,0.4169,3
16,n<=16,sr<=40%,kvB<=1k,kp<=4k,0.1165,2
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.6859,2
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,0.8249,2
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.9332,2
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.3986,2
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.3645,2
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.1411,2
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.3727,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.3324,1
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.824,1
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,0.1489,1
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.8888,3
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,0.2986,1
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.2899,1
16,n<=16,sr<=70%,kvB<=4k,kp<=8k,-0.1783,1
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.2949,1
16,n<=16,sr>70%,kvB<=1k,kp<=4k,1.0573,2
16,n<=16,sr>70%,kvB<=1k,kp<=512,1.0456,2
16,n<=16,sr>70%,kvB<=1k,kp<=8k,-0.73,2
16,n<=16,sr>70%,kvB<=1k,kp=0,0.8921,2
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.1878,2
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.1744,2
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.6225,1
16,n<=16,sr>70%,kvB<=4k,kp=0,0.2348,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.8117,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,0.109,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.7859,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.6811,1
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.3197,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,0.9787,1
128,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.2568,2
