prefill_chunk,kv_prefill,n_decode,kv_decode,time_us
16,256,2,1024,20.288
16,256,2,4096,20.789
16,256,2,16384,26.752
16,256,4,16,18.4107
16,256,4,64,18.2937
16,256,4,256,19.4347
16,256,4,1024,20.597
16,256,4,4096,21.227
16,256,4,16384,28.7783
16,256,8,16,18.56
16,256,8,64,18.688
16,256,8,256,19.7333
16,256,8,1024,20.661
16,256,8,4096,21.6743
16,256,8,16384,32.6507
16,256,16,16,18.688
16,256,16,64,18.837
16,256,16,256,19.8293
16,256,16,1024,20.8643
16,256,16,4096,26.6243
16,256,16,16384,41.2483
16,256,32,16,18.934
16,256,32,64,18.848
16,256,32,256,20.256
16,256,32,1024,22.08
16,256,32,4096,30.2293
16,256,32,16384,58.9867
16,256,64,16,18.7947
16,256,64,64,18.805
16,256,64,256,20.1593
16,256,64,1024,24.8753
16,256,64,4096,41.0027
16,256,64,16384,97.141
16,256,128,16,20.235
16,256,128,64,19.9577
16,256,128,256,22.272
16,256,128,1024,31.563
16,256,128,4096,63.093
16,256,128,16384,171.061
16,1024,0,0,21.301
16,1024,1,16,27.7653
16,1024,1,64,28.0327
16,1024,1,256,27.744
16,1024,1,1024,28.896
16,1024,1,4096,29.4507
16,1024,1,16384,34.5067
16,1024,2,16,28.1813
16,1024,2,64,27.9357
16,1024,2,256,27.8717
16,1024,2,1024,29.2687
16,1024,2,4096,29.7383
16,1024,2,16384,34.9973
16,1024,4,16,28.331
16,1024,4,64,28.3943
16,1024,4,256,28.331
16,1024,4,1024,29.2153
16,1024,4,4096,30.016
16,1024,4,16384,37.685
16,1024,8,16,28.384
16,1024,8,64,28.3943
16,1024,8,256,28.2873
16,1024,8,1024,29.3653
16,1024,8,4096,30.507
16,1024,8,16384,41.0983
16,1024,16,16,28.3943
16,1024,16,64,28.5757
16,1024,16,256,28.1493
16,1024,16,1024,29.5783
16,1024,16,4096,35.072
16,1024,16,16384,50.3683
16,1024,32,16,29.1623
16,1024,32,64,29.3117
16,1024,32,256,29.0983
16,1024,32,1024,30.816
16,1024,32,4096,39.211
16,1024,32,16384,67.6583
16,1024,64,16,29.5573
16,1024,64,64,29.7487
16,1024,64,256,29.354
16,1024,64,1024,33.493
16,1024,64,4096,50.4213
16,1024,64,16384,106.304
16,1024,128,16,28.8103
16,1024,128,64,28.6393
16,1024,128,256,30.9123
16,1024,128,1024,40.2347
16,1024,128,4096,71.36
16,1024,128,16384,179.477
16,4096,0,0,56.6613
16,4096,1,16,63.1037
16,4096,1,64,63.5413
16,4096,1,256,62.9867
16,4096,1,1024,63.68
16,4096,1,4096,64.768
16,4096,1,16384,70.3893
16,4096,2,16,63.5093
16,4096,2,64,63.573
16,4096,2,256,63.4987
16,4096,2,1024,63.829
16,4096,2,4096,65.184
16,4096,2,16384,71.0497
16,4096,4,16,64.299
16,4096,4,64,64.0103
16,4096,4,256,63.6797
16,4096,4,1024,63.883
16,4096,4,4096,65.3337
16,4096,4,16384,73.2903
16,4096,8,16,64.075
16,4096,8,64,64.0323
16,4096,8,256,63.7333
16,4096,8,1024,63.862
16,4096,8,4096,66.069
16,4096,8,16384,76.6927
16,4096,16,16,65.2053
16,4096,16,64,65.5997
16,4096,16,256,65.621
16,4096,16,1024,66.5063
16,4096,16,4096,70.6133
16,4096,16,16384,85.024
16,4096,32,16,64.8643
16,4096,32,64,64.8317
16,4096,32,256,64.8643
16,4096,32,1024,66.4533
16,4096,32,4096,74.112
16,4096,32,16384,102.869
16,4096,64,16,65.173
16,4096,64,64,64.9383
16,4096,64,256,64.8847
16,4096,64,1024,69.174
16,4096,64,4096,85.7067
16,4096,64,16384,141.024
16,4096,128,16,64.2883
16,4096,128,64,64.224
16,4096,128,256,66.581
16,4096,128,1024,75.7333
16,4096,128,4096,107.167
16,4096,128,16384,215.072
16,16384,0,0,197.695
16,16384,1,16,213.342
16,16384,1,64,214.036
16,16384,1,256,213.739
16,16384,1,1024,213.408
16,16384,1,4096,213.834
16,16384,1,16384,218.1
16,16384,2,16,213.919
16,16384,2,64,214.57
16,16384,2,256,213.931
16,16384,2,1024,212.64
16,16384,2,4096,214.538
16,16384,2,16384,218.646
