regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,1,0.0625,4.0,2048,0,128,512,152,137.566,137.344,137.535,
mixed,16,1,0.0625,4.0,2048,0,1024,4096,1216,141.823,162.145,150.271,0.4157
mixed,16,1,0.0625,4.0,2048,512,128,512,152,159.073,158.561,158.976,
mixed,16,1,0.0625,4.0,2048,512,1024,4096,1216,160.799,183.23,169.666,0.3953
mixed,16,1,0.0625,4.0,2048,4096,128,512,152,304.448,304.64,303.935,-2.6719
mixed,16,1,0.0625,4.0,2048,4096,1024,4096,1216,308.769,322.911,311.232,0.1742
mixed,16,1,0.0625,4.0,2048,8192,128,512,152,472.8,479.616,480.255,1.0938
mixed,16,1,0.0625,4.0,2048,8192,1024,4096,1216,483.295,493.6,482.367,-0.0901
pure,16,2,0.125,4.0,0,0,128,512,176,25.986,32.193,31.424,0.8761
pure,16,2,0.125,4.0,0,0,1024,4096,1408,33.215,49.89,42.495,0.5565
mixed,16,2,0.125,4.0,16,0,128,512,176,46.851,52.639,51.36,0.779
mixed,16,2,0.125,4.0,16,0,1024,4096,1408,53.117,70.464,63.424,0.5942
mixed,16,2,0.125,4.0,16,512,128,512,176,67.327,70.303,69.345,0.6781
mixed,16,2,0.125,4.0,16,512,1024,4096,1408,71.329,87.328,80.959,0.6019
mixed,16,2,0.125,4.0,16,4096,128,512,176,196.415,197.473,196.414,-0.0009
mixed,16,2,0.125,4.0,16,4096,1024,4096,1408,200.544,210.561,203.425,0.2876
mixed,16,2,0.125,4.0,16,8192,128,512,176,343.741,344.289,343.2,-0.9872
mixed,16,2,0.125,4.0,16,8192,1024,4096,1408,347.071,358.72,352.896,0.5
mixed,16,2,0.125,4.0,128,0,128,512,176,49.951,55.104,54.239,0.8321
mixed,16,2,0.125,4.0,128,0,1024,4096,1408,56.353,73.055,66.271,0.5938
mixed,16,2,0.125,4.0,128,512,128,512,176,70.432,72.704,72.001,0.6906
mixed,16,2,0.125,4.0,128,512,1024,4096,1408,73.41,90.913,82.335,0.5099
mixed,16,2,0.125,4.0,128,4096,128,512,176,198.785,199.486,199.33,0.7775
mixed,16,2,0.125,4.0,128,4096,1024,4096,1408,203.101,214.014,206.369,0.2995
mixed,16,2,0.125,4.0,128,8192,128,512,176,347.872,351.039,353.15,1.6666
mixed,16,2,0.125,4.0,128,8192,1024,4096,1408,354.623,368.255,352.449,-0.1595
mixed,16,2,0.125,4.0,1024,0,128,512,176,90.75,93.502,92.255,0.5469
mixed,16,2,0.125,4.0,1024,0,1024,4096,1408,95.776,113.217,105.12,0.5357
mixed,16,2,0.125,4.0,1024,512,128,512,176,110.495,109.407,109.886,
mixed,16,2,0.125,4.0,1024,512,1024,4096,1408,114.72,132.385,124.157,0.5342
mixed,16,2,0.125,4.0,1024,4096,128,512,176,246.783,247.2,247.584,1.9209
mixed,16,2,0.125,4.0,1024,4096,1024,4096,1408,253.152,264.962,257.761,0.3903
mixed,16,2,0.125,4.0,1024,8192,128,512,176,414.559,408.384,416.0,
mixed,16,2,0.125,4.0,1024,8192,1024,4096,1408,416.863,428.286,416.192,-0.0587
mixed,16,2,0.125,4.0,2048,0,128,512,176,137.855,137.375,137.951,
mixed,16,2,0.125,4.0,2048,0,1024,4096,1408,142.976,162.239,151.618,0.4486
mixed,16,2,0.125,4.0,2048,512,128,512,176,158.722,158.336,159.489,
mixed,16,2,0.125,4.0,2048,512,1024,4096,1408,164.286,182.208,172.672,0.4679
mixed,16,2,0.125,4.0,2048,4096,128,512,176,304.096,305.38,303.903,-0.1503
mixed,16,2,0.125,4.0,2048,4096,1024,4096,1408,310.113,323.073,314.402,0.3309
mixed,16,2,0.125,4.0,2048,8192,128,512,176,474.367,479.966,481.632,1.2976
mixed,16,2,0.125,4.0,2048,8192,1024,4096,1408,483.777,499.553,482.176,-0.1015
pure,16,3,0.1875,4.0,0,0,128,512,200,26.077,31.712,31.969,1.0456
pure,16,3,0.1875,4.0,0,0,1024,4096,1600,34.367,51.137,42.847,0.5057
mixed,16,3,0.1875,4.0,16,0,128,512,200,47.232,52.481,51.712,0.8535
mixed,16,3,0.1875,4.0,16,0,1024,4096,1600,54.717,70.463,63.457,0.5551
mixed,16,3,0.1875,4.0,16,512,128,512,200,67.134,69.824,69.054,0.7138
mixed,16,3,0.1875,4.0,16,512,1024,4096,1600,72.029,87.583,80.64,0.5536
mixed,16,3,0.1875,4.0,16,4096,128,512,200,197.184,197.278,196.287,-9.5426
mixed,16,3,0.1875,4.0,16,4096,1024,4096,1600,200.704,211.133,204.16,0.3314
mixed,16,3,0.1875,4.0,16,8192,128,512,200,344.032,348.16,344.478,0.108
mixed,16,3,0.1875,4.0,16,8192,1024,4096,1600,342.497,365.184,350.143,0.337
mixed,16,3,0.1875,4.0,128,0,128,512,200,50.081,54.977,54.464,0.8952
mixed,16,3,0.1875,4.0,128,0,1024,4096,1600,56.098,73.024,65.725,0.5688
mixed,16,3,0.1875,4.0,128,512,128,512,200,70.304,72.189,72.161,0.9851
mixed,16,3,0.1875,4.0,128,512,1024,4096,1600,73.535,90.24,83.553,0.5997
mixed,16,3,0.1875,4.0,128,4096,128,512,200,199.745,199.904,199.487,-1.6226
mixed,16,3,0.1875,4.0,128,4096,1024,4096,1600,203.36,214.59,206.787,0.3052
mixed,16,3,0.1875,4.0,128,8192,128,512,200,353.216,345.823,347.263,
mixed,16,3,0.1875,4.0,128,8192,1024,4096,1600,350.367,362.72,352.03,0.1346
mixed,16,3,0.1875,4.0,1024,0,128,512,200,90.72,93.504,92.705,0.713
mixed,16,3,0.1875,4.0,1024,0,1024,4096,1600,96.192,113.056,105.28,0.5389
mixed,16,3,0.1875,4.0,1024,512,128,512,200,110.783,109.727,110.493,
mixed,16,3,0.1875,4.0,1024,512,1024,4096,1600,115.584,131.871,123.808,0.5049
mixed,16,3,0.1875,4.0,1024,4096,128,512,200,248.864,248.512,248.863,
mixed,16,3,0.1875,4.0,1024,4096,1024,4096,1600,251.967,264.831,257.407,0.4229
mixed,16,3,0.1875,4.0,1024,8192,128,512,200,415.329,412.894,410.528,
mixed,16,3,0.1875,4.0,1024,8192,1024,4096,1600,418.081,433.791,417.536,-0.0347
mixed,16,3,0.1875,4.0,2048,0,128,512,200,137.92,137.952,138.239,9.9688
mixed,16,3,0.1875,4.0,2048,0,1024,4096,1600,144.032,160.769,151.777,0.4627
