pc,n_label,skew_rate_label,kv_big_label,kp_label,alpha,n_samples
16,n<=16,sr<=40%,kvB<=1k,kp<=512,0.7096,2
16,n<=16,sr<=40%,kvB<=1k,kp<=8k,-0.6371,2
16,n<=16,sr<=40%,kvB<=1k,kp=0,0.8468,2
16,n<=16,sr<=40%,kvB<=4k,kp<=4k,0.3414,2
16,n<=16,sr<=40%,kvB<=4k,kp<=512,0.5709,2
16,n<=16,sr<=40%,kvB<=4k,kp<=8k,0.3451,2
16,n<=16,sr<=40%,kvB<=4k,kp=0,0.5486,2
16,n<=16,sr<=70%,kvB<=1k,kp<=4k,0.3645,1
16,n<=16,sr<=70%,kvB<=1k,kp<=512,0.9409,1
16,n<=16,sr<=70%,kvB<=1k,kp<=8k,3.773,1
16,n<=16,sr<=70%,kvB<=1k,kp=0,0.8607,2
16,n<=16,sr<=70%,kvB<=4k,kp<=4k,-0.9616,1
16,n<=16,sr<=70%,kvB<=4k,kp<=512,0.6562,1
16,n<=16,sr<=70%,kvB<=4k,kp=0,0.6532,1
16,n<=16,sr>70%,kvB<=1k,kp<=4k,1.4956,2
16,n<=16,sr>70%,kvB<=1k,kp<=512,1.0226,2
16,n<=16,sr>70%,kvB<=1k,kp<=8k,0.2809,2
16,n<=16,sr>70%,kvB<=1k,kp=0,1.0137,2
16,n<=16,sr>70%,kvB<=4k,kp<=4k,0.022,2
16,n<=16,sr>70%,kvB<=4k,kp<=512,0.4635,2
16,n<=16,sr>70%,kvB<=4k,kp<=8k,-0.6673,2
16,n<=16,sr>70%,kvB<=4k,kp=0,0.4211,2
16,n<=2,sr<=70%,kvB<=1k,kp<=512,0.7396,1
16,n<=2,sr<=70%,kvB<=1k,kp<=8k,-0.6294,1
16,n<=2,sr<=70%,kvB<=1k,kp=0,0.6252,1
16,n<=2,sr<=70%,kvB<=4k,kp<=4k,-9.8226,1
16,n<=2,sr<=70%,kvB<=4k,kp<=512,0.315,1
16,n<=2,sr<=70%,kvB<=4k,kp<=8k,0.5635,1
16,n<=2,sr<=70%,kvB<=4k,kp=0,-0.249,1
128,n<=128,sr<=15%,kvB<=1k,kp<=4k,0.4362,2
128,n<=128,sr<=15%,kvB<=1k,kp<=512,0.4311,2
128,n<=128,sr<=15%,kvB<=1k,kp<=8k,0.5617,2
128,n<=128,sr<=15%,kvB<=1k,kp=0,0.4553,2
128,n<=128,sr<=15%,kvB<=4k,kp<=4k,0.3845,2
128,n<=128,sr<=15%,kvB<=4k,kp<=512,0.3941,2
128,n<=128,sr<=15%,kvB<=4k,kp<=8k,0.3764,2
128,n<=128,sr<=15%,kvB<=4k,kp=0,0.3964,2
128,n<=128,sr<=40%,kvB<=1k,kp<=4k,0.4868,1
128,n<=128,sr<=40%,kvB<=1k,kp<=512,0.3866,1
128,n<=128,sr<=40%,kvB<=1k,kp<=8k,0.3282,1
128,n<=128,sr<=40%,kvB<=1k,kp=0,0.3845,1
128,n<=128,sr<=40%,kvB<=4k,kp<=4k,0.3013,1
128,n<=128,sr<=40%,kvB<=4k,kp<=512,0.297,1
128,n<=128,sr<=40%,kvB<=4k,kp<=8k,0.2153,1
128,n<=128,sr<=40%,kvB<=4k,kp=0,0.2966,1
128,n<=128,sr<=5%,kvB<=1k,kp<=4k,0.409,4
128,n<=128,sr<=5%,kvB<=1k,kp<=512,0.4221,4
128,n<=128,sr<=5%,kvB<=1k,kp<=8k,0.0871,4
128,n<=128,sr<=5%,kvB<=1k,kp=0,0.3976,4
128,n<=128,sr<=5%,kvB<=4k,kp<=4k,0.4099,4
128,n<=128,sr<=5%,kvB<=4k,kp<=512,0.4114,4
128,n<=128,sr<=5%,kvB<=4k,kp<=8k,0.4119,4
128,n<=128,sr<=5%,kvB<=4k,kp=0,0.4191,4
128,n<=128,sr<=70%,kvB<=1k,kp<=4k,0.3167,1
128,n<=128,sr<=70%,kvB<=1k,kp<=512,0.2007,1
128,n<=128,sr<=70%,kvB<=1k,kp<=8k,0.1846,1
128,n<=128,sr<=70%,kvB<=1k,kp=0,0.2613,1
128,n<=128,sr<=70%,kvB<=4k,kp<=4k,0.1862,1
128,n<=128,sr<=70%,kvB<=4k,kp<=512,0.1936,1
128,n<=128,sr<=70%,kvB<=4k,kp<=8k,0.1072,1
128,n<=128,sr<=70%,kvB<=4k,kp=0,0.2104,1
128,n<=128,sr>70%,kvB<=1k,kp<=4k,0.4858,2
128,n<=128,sr>70%,kvB<=1k,kp<=512,0.502,2
128,n<=128,sr>70%,kvB<=1k,kp<=8k,2.0798,1
128,n<=128,sr>70%,kvB<=1k,kp=0,0.5984,2
128,n<=128,sr>70%,kvB<=4k,kp<=4k,0.0897,2
128,n<=128,sr>70%,kvB<=4k,kp<=512,0.1101,2
128,n<=128,sr>70%,kvB<=4k,kp<=8k,0.3153,2
128,n<=128,sr>70%,kvB<=4k,kp=0,0.1069,2
128,n<=16,sr<=15%,kvB<=1k,kp<=4k,0.7526,2
128,n<=16,sr<=15%,kvB<=1k,kp<=512,0.607,2
128,n<=16,sr<=15%,kvB<=1k,kp<=8k,1.6666,1
128,n<=16,sr<=15%,kvB<=1k,kp=0,0.8605,2
128,n<=16,sr<=15%,kvB<=4k,kp<=4k,0.1997,2
128,n<=16,sr<=15%,kvB<=4k,kp<=512,0.5203,2
