regime,n,nb,ratio,skew,pc,kp,kvs,kv_big,kv_mean,t_mean_us,t_max_us,t_skew_us,alpha
mixed,16,1,0.0625,4.0,2048,0,128,512,152,208.895,209.824,209.6,0.7589
mixed,16,1,0.0625,4.0,2048,0,1024,4096,1216,215.711,243.363,222.978,0.2628
mixed,16,1,0.0625,4.0,2048,512,128,512,152,254.753,255.425,254.847,0.1399
mixed,16,1,0.0625,4.0,2048,512,1024,4096,1216,260.64,288.895,270.689,0.3557
mixed,16,1,0.0625,4.0,2048,4096,128,512,152,551.262,549.567,548.958,
mixed,16,1,0.0625,4.0,2048,4096,1024,4096,1216,558.878,581.823,558.655,-0.0097
mixed,16,1,0.0625,4.0,2048,8192,128,512,152,862.973,862.401,864.066,
mixed,16,1,0.0625,4.0,2048,8192,1024,4096,1216,876.894,898.655,873.344,-0.1631
pure,16,2,0.125,4.0,0,0,128,512,176,26.016,32.64,32.352,0.9565
pure,16,2,0.125,4.0,0,0,1024,4096,1408,37.631,61.089,46.527,0.3792
mixed,16,2,0.125,4.0,16,0,128,512,176,47.744,54.016,52.77,0.8013
mixed,16,2,0.125,4.0,16,0,1024,4096,1408,59.106,81.345,68.929,0.4417
mixed,16,2,0.125,4.0,16,512,128,512,176,68.674,71.52,70.593,0.6743
mixed,16,2,0.125,4.0,16,512,1024,4096,1408,76.255,99.457,86.591,0.4455
mixed,16,2,0.125,4.0,16,4096,128,512,176,196.703,198.079,196.703,0.0
mixed,16,2,0.125,4.0,16,4096,1024,4096,1408,203.614,224.993,212.574,0.4191
mixed,16,2,0.125,4.0,16,8192,128,512,176,352.8,347.616,346.878,
mixed,16,2,0.125,4.0,16,8192,1024,4096,1408,361.919,374.111,364.287,0.1942
mixed,16,2,0.125,4.0,128,0,128,512,176,50.878,57.31,56.257,0.8363
mixed,16,2,0.125,4.0,128,0,1024,4096,1408,61.984,84.863,72.608,0.4644
mixed,16,2,0.125,4.0,128,512,128,512,176,72.128,74.432,73.441,0.5699
mixed,16,2,0.125,4.0,128,512,1024,4096,1408,79.744,102.751,89.505,0.4243
mixed,16,2,0.125,4.0,128,4096,128,512,176,200.735,201.343,200.641,-0.1546
mixed,16,2,0.125,4.0,128,4096,1024,4096,1408,206.978,230.335,215.998,0.3862
mixed,16,2,0.125,4.0,128,8192,128,512,176,357.695,356.832,358.047,
mixed,16,2,0.125,4.0,128,8192,1024,4096,1408,359.935,385.663,364.544,0.1791
mixed,16,2,0.125,4.0,1024,0,128,512,176,102.207,104.928,103.328,0.412
mixed,16,2,0.125,4.0,1024,0,1024,4096,1408,110.525,134.432,119.235,0.3643
mixed,16,2,0.125,4.0,1024,512,128,512,176,122.207,122.721,123.071,1.6809
mixed,16,2,0.125,4.0,1024,512,1024,4096,1408,129.856,153.535,139.901,0.4242
mixed,16,2,0.125,4.0,1024,4096,128,512,176,264.254,264.863,264.511,0.422
mixed,16,2,0.125,4.0,1024,4096,1024,4096,1408,271.713,296.64,280.67,0.3593
mixed,16,2,0.125,4.0,1024,8192,128,512,176,443.744,443.488,444.384,
mixed,16,2,0.125,4.0,1024,8192,1024,4096,1408,453.44,472.801,453.375,-0.0034
mixed,16,2,0.125,4.0,2048,0,128,512,176,209.535,209.92,209.887,0.9143
mixed,16,2,0.125,4.0,2048,0,1024,4096,1408,217.568,242.273,226.238,0.3509
mixed,16,2,0.125,4.0,2048,512,128,512,176,254.816,255.808,255.1,0.2863
mixed,16,2,0.125,4.0,2048,512,1024,4096,1408,262.271,288.256,270.656,0.3227
mixed,16,2,0.125,4.0,2048,4096,128,512,176,551.23,549.663,549.247,
mixed,16,2,0.125,4.0,2048,4096,1024,4096,1408,560.223,583.871,560.222,-0.0
mixed,16,2,0.125,4.0,2048,8192,128,512,176,865.372,863.614,864.161,
mixed,16,2,0.125,4.0,2048,8192,1024,4096,1408,876.895,895.454,875.968,-0.0499
pure,16,3,0.1875,4.0,0,0,128,512,200,25.729,32.673,32.128,0.9215
pure,16,3,0.1875,4.0,0,0,1024,4096,1600,40.545,60.767,47.967,0.367
mixed,16,3,0.1875,4.0,16,0,128,512,200,47.519,53.599,53.344,0.9581
mixed,16,3,0.1875,4.0,16,0,1024,4096,1600,61.407,82.4,69.185,0.3705
mixed,16,3,0.1875,4.0,16,512,128,512,200,68.447,71.233,70.366,0.6888
mixed,16,3,0.1875,4.0,16,512,1024,4096,1600,79.168,98.721,86.464,0.3731
mixed,16,3,0.1875,4.0,16,4096,128,512,200,196.961,198.079,197.054,0.0832
mixed,16,3,0.1875,4.0,16,4096,1024,4096,1600,205.28,225.119,213.248,0.4016
mixed,16,3,0.1875,4.0,16,8192,128,512,200,347.199,352.992,354.112,1.1933
mixed,16,3,0.1875,4.0,16,8192,1024,4096,1600,356.191,374.847,361.534,0.2864
mixed,16,3,0.1875,4.0,128,0,128,512,200,50.943,57.153,56.289,0.8609
mixed,16,3,0.1875,4.0,128,0,1024,4096,1600,64.767,84.989,73.376,0.4257
mixed,16,3,0.1875,4.0,128,512,128,512,200,71.583,74.177,73.855,0.8759
mixed,16,3,0.1875,4.0,128,512,1024,4096,1600,82.529,103.136,91.135,0.4176
mixed,16,3,0.1875,4.0,128,4096,128,512,200,200.96,200.479,200.896,
mixed,16,3,0.1875,4.0,128,4096,1024,4096,1600,209.185,229.312,216.895,0.3831
mixed,16,3,0.1875,4.0,128,8192,128,512,200,357.887,357.311,357.472,
mixed,16,3,0.1875,4.0,128,8192,1024,4096,1600,354.112,384.734,375.232,0.6897
mixed,16,3,0.1875,4.0,1024,0,128,512,200,101.697,104.574,103.007,0.4553
mixed,16,3,0.1875,4.0,1024,0,1024,4096,1600,113.248,133.632,120.191,0.3406
mixed,16,3,0.1875,4.0,1024,512,128,512,200,122.274,123.168,122.305,0.0347
mixed,16,3,0.1875,4.0,1024,512,1024,4096,1600,132.831,154.625,140.543,0.3539
mixed,16,3,0.1875,4.0,1024,4096,128,512,200,264.703,265.119,264.542,-0.387
mixed,16,3,0.1875,4.0,1024,4096,1024,4096,1600,275.039,296.255,281.472,0.3032
mixed,16,3,0.1875,4.0,1024,8192,128,512,200,444.607,443.201,443.165,
mixed,16,3,0.1875,4.0,1024,8192,1024,4096,1600,455.358,475.329,454.464,-0.0448
mixed,16,3,0.1875,4.0,2048,0,128,512,200,209.694,210.561,210.399,0.8131
mixed,16,3,0.1875,4.0,2048,0,1024,4096,1600,218.494,243.551,226.08,0.3027
mixed,16,3,0.1875,4.0,2048,512,128,512,200,255.454,255.167,255.169,
mixed,16,3,0.1875,4.0,2048,512,1024,4096,1600,263.936,289.086,271.839,0.3142
mixed,16,3,0.1875,4.0,2048,4096,128,512,200,551.167,550.816,548.575,
mixed,16,3,0.1875,4.0,2048,4096,1024,4096,1600,563.872,583.519,561.28,-0.1319
mixed,16,3,0.1875,4.0,2048,8192,128,512,200,865.983,864.447,867.103,
mixed,16,3,0.1875,4.0,2048,8192,1024,4096,1600,880.99,902.079,878.046,-0.1396
pure,16,4,0.25,4.0,0,0,128,512,224,25.982,33.12,32.383,0.8967
pure,16,4,0.25,4.0,0,0,1024,4096,1792,41.408,60.865,48.384,0.3585
mixed,16,4,0.25,4.0,16,0,128,512,224,47.521,54.016,53.441,0.9115
mixed,16,4,0.25,4.0,16,0,1024,4096,1792,62.689,81.439,69.728,0.3754
mixed,16,4,0.25,4.0,16,512,128,512,224,68.703,71.328,70.495,0.6827
mixed,16,4,0.25,4.0,16,512,1024,4096,1792,80.641,99.135,87.202,0.3548
mixed,16,4,0.25,4.0,16,4096,128,512,224,197.183,197.438,197.376,0.7569
mixed,16,4,0.25,4.0,16,4096,1024,4096,1792,206.144,225.088,213.632,0.3953
mixed,16,4,0.25,4.0,16,8192,128,512,224,352.831,354.592,347.263,-3.1618
mixed,16,4,0.25,4.0,16,8192,1024,4096,1792,365.376,375.425,361.76,-0.3598
